"","ID","Contributor","vowels","cons","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family_Glottocode","Family_Name"
"1817","njeb1242","1371",10,24,"Njebi","Africa",-2.18115,12.7063,"njeb1242","nzb","atla1278","Atlantic-Congo"
"1818","njye1238","1602",22,20,"Njyem","Africa",2.30483,14.1175,"njye1238","njy","atla1278","Atlantic-Congo"
"1819","nkon1248","1455",14,20,"Nkonya","Africa",7.20316,0.3209,"nkon1248","nko","atla1278","Atlantic-Congo"
"1820","nobi1240","152",12,33,"Nobiin","Africa",22.8142,31.8376,"nobi1240","fia","nubi1251","Nubian"
"1821","nobi1240","327",5,16,"Nobiin","Africa",22.8142,31.8376,"nobi1240","fia","nubi1251","Nubian"
"1822","noma1260","798",16,14,"Nomaande","Africa",4.5893,10.9157,"noma1260","lem","atla1278","Atlantic-Congo"
"1823","noma1263","1825",9,16,"Nomatsiguenga","South America",-11.5349,-74.4371,"noma1263","not","araw1281","Arawakan"
"1824","nonu1241","2130",6,20,"Nonuya","South America",-1.25,-72.5,"nonu1241","noj","huit1251","Huitotoan"
"1825","noon1243","492",14,19,"Noone","Africa",6.37256,10.5707,"noon1243","nhu","atla1278","Atlantic-Congo"
"1826","nort1550","598",12,26,"Taos Northern Tiwa","North America",36.4277,-105.604,"nort1550","twf","kiow1265","Kiowa-Tanoan"
"1827","nort2626","1111",19,23,"Northern Frisian","Eurasia",54.6409,8.58489,"nort2626","frr","indo1319","Indo-European"
"1828","nort2627","1131",14,23,"Eastern Low German","Eurasia",50.771,6.092,"nort2627","nds","indo1319","Indo-European"
"1829","nort2641","2484",8,30,"Northern Kurdish","Eurasia",37,43,"nort2641","kmr","indo1319","Indo-European"
"1830","nort2641","419",17,30,"Northern Kurdish","Eurasia",37,43,"nort2641","kmr","indo1319","Indo-European"
"1831","nort2646","2321",11,22,"Northern Pashto","Eurasia",34,71.33,"nort2646","pbu","indo1319","Indo-European"
"1832","nort2671","2235",11,63,"North Saami","Eurasia",68.725,22.1113,"nort2671","sme","ural1272","Uralic"
"1833","nort2684","965",19,24,"Northern Khmer","Eurasia",14.4674,103.863,"nort2684","kxm","aust1305","Austroasiatic"
"1834","nort2686","2372",16,18,"Northern Altai","Eurasia",50.8998,88.0672,"nort2686","atv","turk1311","Turkic"
"1835","nort2690","603",6,24,"Northern Uzbek","Eurasia",43.7489,59.231,"nort2690","uzn","turk1311","Turkic"
